ad_id,gender,age_range,essential_keywords,variable_keywords,impressions,clicks
A1,female,25-34,가을|니트,브이넥|단가라,12000,720
A1,male,35-44,가을|니트,브이넥|단가라,8000,400
A2,female,25-34,가을|니트,크롭|오버핏,10000,550
A2,male,35-44,가을|니트,크롭|오버핏,7000,280
A3,female,18-24,가을|니트,와이드핏,9000,360
A3,male,45-54,가을|니트,와이드핏,6000,180
A4,female,25-34,겨울|따뜻하,롱패딩|구스다운,11000,660
A4,male,35-44,겨울|따뜻하,롱패딩|구스다운,9000,450
A5,female,18-24,겨울|따뜻하,숏패딩|덕다운,8000,320
A5,male,45-54,겨울|따뜻하,숏패딩|덕다운,6000,180
A6,female,25-34,겨울|따뜻하,기모|플리스,7000,70
A6,male,35-44,겨울|따뜻하,기모|플리스,5000,50
A7,female,18-24,여름|시원하,린넨|와이드팬츠,9000,90
A7,male,45-54,여름|시원하,린넨|와이드팬츠,6000,60
A8,female,25-34,여름|시원하,쿨매쉬|메쉬,8000,80
A8,male,35-44,여름|시원하,쿨매쉬|메쉬,5000,50
